Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.02,1.648,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.936,1.513,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.968,1.403,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.023,1.625,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.082,1.675,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.91,1.399,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.98,1.381,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.039,1.608,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.967,1.502,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.024,1.592,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.025,1.649,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.016,1.559,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.981,1.534,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.959,1.47,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1,1.515,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.036,1.637,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.975,1.616,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.909,1.588,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.082,1.681,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.873,1.429,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.019,1.645,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.93,1.416,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.939,1.429,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,1.122,1.638,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.831,1.294,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.945,1.382,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_04,colon,O-Län,Sprat,otolith,NA,NA,3,1,NA,NA,NA,0.873,1.345,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.178,1.777,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.217,1.936,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.032,1.585,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.139,1.701,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.166,1.845,NA,NA,Sprat,Clupeidae,Sprattus sprattus
KS_2024_05,colon,O-Län,Sprat,otolith,NA,NA,1,1,NA,NA,NA,1.097,1.592,NA,NA,Sprat,Clupeidae,Sprattus sprattus
